House,Price,County,Room
"60. 39 Parkview Drive, Letterkenny, Co. Donegal",650, Co. Donegal,3
"61. 7 Ceannan View, Letterkenny, Co. Donegal",640, Co. Donegal,3 
"62. Lunniagh, Derrybeg, Co. Donegal",1050, Co. Donegal,4 
"63. Cherry Avenue, Carndonagh, Co. Donegal",600, Co. Donegal,3
"64. 21 Hillview, Letterkenny, Co. Donegal",750, Co. Donegal,3 
"65. The Garden, Ballymacool Wood, Letterkenny, Co. Donegal",750, Co. Donegal,4 
"66. The Maples, Letterkenny, Co. Donegal",850, Co. Donegal,4 
"67. 49 Rowan Park, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"68. Glen road Glenties, Glenties, Co. Donegal",440, Co. Donegal,4 
"69. 10 Farmleigh Park, Ardeskin, Donegal Town, Co. Donegal",750, Co. Donegal,3 
"70. The Commons, Killybegs, Co. Donegal",575, Co. Donegal,4
"71. 10 Keenaghan, Kilcar, Co. Donegal",500, Co. Donegal,3
"72. Alt Crescent, Castlefin, Co. Donegal",850, Co. Donegal,4 
"73. The Cottage, Shanvalley, Castlefin, Co. Donegal",550, Co. Donegal,2
"74. Drimnaherk East, Letterbarra, Co. Donegal",580, Co. Donegal,2
"75. 6 Elm park, Buncrana, Co. Donegal",700, Co. Donegal,5 
"76. Solomons Manor, Letterkenny, Co. Donegal",750, Co. Donegal,3 
"77. 6 willowbrook, Letterkenny, Co. Donegal",900, Co. Donegal,4 
"78. derrynacarrow, Doochary, Co. Donegal",600, Co. Donegal,3 
"79. Chestnut Grove, Letterkenny, Co. Donegal",900, Co. Donegal,5 
"80. Caravan Road, Dungloe, Co. Donegal",600, Co. Donegal,4 
"81. meenahalla, Glenties, Co. Donegal",475, Co. Donegal,4
"82. 21 Loughfern Heights, Milford, Co. Donegal",600, Co. Donegal,3 
"83. Gortlee, Letterkenny, Co. Donegal",700, Co. Donegal,3
"1. Seafield Downs, Clontarf, Dublin 3",2500, Dublin 3,2 
