House,Price,County
"8. Moyvalley Hotel and Golf Resort, Enfield, Co. Meath",1400, Co. Meath
"9. 99 Blackcastle Lodge, Flowerhill, Navan, Co. Meath",1200, Co. Meath
"10. Athlumney, Navan, Co. Meath",1175, Co. Meath
"11. 3 Killegland Meadows, Ashbourne, Co. Meath",1450, Co. Meath
"12. Cloncarneel, Ballivor, Co. Meath",800, Co. Meath
"13. Mill Lane, Navan, Co. Meath",940, Co. Meath
"14. Dunboyne Village, Dunboyne, Co. Meath",1150, Co. Meath
"15. The Square, Innwood, Enfield, Co. Meath",1600, Co. Meath
"16. Bru Na hAbhainn, Navan, Co. Meath",1200, Co. Meath
"17. Ratoath Village, Ratoath, Co. Meath",1250, Co. Meath
"18. 26 Huntsgrove, Ashbourne, Co. Meath",1150, Co. Meath
"19. Branstown, Dunshaughlin, Co. Meath",1450, Co. Meath
